Year,State,GDP,Unit,State_Code
2000,Alabama,119242.4,Millions of current dollars,AL
2001,Alabama,122449.3,Millions of current dollars,AL
2002,Alabama,127792.3,Millions of current dollars,AL
2003,Alabama,133739.2,Millions of current dollars,AL
2004,Alabama,146524.7,Millions of current dollars,AL
2005,Alabama,155970.4,Millions of current dollars,AL
2006,Alabama,163853.6,Millions of current dollars,AL
2007,Alabama,169678.4,Millions of current dollars,AL
2008,Alabama,172686.8,Millions of current dollars,AL
2009,Alabama,168348.0,Millions of current dollars,AL
2010,Alabama,174753.0,Millions of current dollars,AL
2011,Alabama,181349.8,Millions of current dollars,AL
2012,Alabama,186299.0,Millions of current dollars,AL
2013,Alabama,191481.0,Millions of current dollars,AL
2014,Alabama,194211.0,Millions of current dollars,AL
2015,Alabama,200402.7,Millions of current dollars,AL
2016,Alabama,203829.8,Millions of current dollars,AL
2000,Alaska,26778.3,Millions of current dollars,AK
2001,Alaska,28420.4,Millions of current dollars,AK
2002,Alaska,29605.3,Millions of current dollars,AK
2003,Alaska,31799.7,Millions of current dollars,AK
2004,Alaska,34970.7,Millions of current dollars,AK
2005,Alaska,39774.8,Millions of current dollars,AK
2006,Alaska,44435.3,Millions of current dollars,AK
2007,Alaska,48972.6,Millions of current dollars,AK
2008,Alaska,54752.4,Millions of current dollars,AK
2009,Alaska,49585.9,Millions of current dollars,AK
2010,Alaska,52882.5,Millions of current dollars,AK
2011,Alaska,56259.9,Millions of current dollars,AK
2012,Alaska,57670.1,Millions of current dollars,AK
2013,Alaska,56622.8,Millions of current dollars,AK
2014,Alaska,55523.4,Millions of current dollars,AK
2015,Alaska,50641.6,Millions of current dollars,AK
2016,Alaska,49363.4,Millions of current dollars,AK
2000,Arizona,164611.6,Millions of current dollars,AZ
2001,Arizona,171474.2,Millions of current dollars,AZ
2002,Arizona,179413.3,Millions of current dollars,AZ
2003,Arizona,192751.2,Millions of current dollars,AZ
2004,Arizona,205420.8,Millions of current dollars,AZ
2005,Arizona,228231.2,Millions of current dollars,AZ
2006,Arizona,248230.7,Millions of current dollars,AZ
2007,Arizona,262322.0,Millions of current dollars,AZ
2008,Arizona,259366.7,Millions of current dollars,AZ
2009,Arizona,243929.4,Millions of current dollars,AZ
2010,Arizona,248210.0,Millions of current dollars,AZ
2011,Arizona,257947.8,Millions of current dollars,AZ
2012,Arizona,268288.8,Millions of current dollars,AZ
