Year,Personal Income (millions),Population,Per capita income (dollars),State,State_Code
2000,108355.1,4452173.0,24338.0,Alabama,AL
2001,112154.9,4467634.0,25104.0,Alabama,AL
2002,115191.8,4480089.0,25712.0,Alabama,AL
2003,120211.1,4503491.0,26693.0,Alabama,AL
2004,128739.9,4530729.0,28415.0,Alabama,AL
2005,136327.3,4569805.0,29832.0,Alabama,AL
2006,145175.8,4628981.0,31362.0,Alabama,AL
2007,152327.0,4672840.0,32598.0,Alabama,AL
2008,157366.8,4718206.0,33353.0,Alabama,AL
2009,155145.3,4757938.0,32608.0,Alabama,AL
2010,161516.6,4785448.0,33752.0,Alabama,AL
2011,167942.8,4798834.0,34997.0,Alabama,AL
2012,172804.1,4815564.0,35884.0,Alabama,AL
2013,174415.5,4830460.0,36107.0,Alabama,AL
2014,180457.8,4842481.0,37266.0,Alabama,AL
2015,187544.4,4853160.0,38644.0,Alabama,AL
2016,190814.7,4864745.0,39224.0,Alabama,AL
2000,135387.5,5160586.0,26235.0,Arizona,AZ
2001,141344.5,5273477.0,26803.0,Arizona,AZ
2002,146505.2,5396255.0,27149.0,Arizona,AZ
2003,155175.0,5510364.0,28161.0,Arizona,AZ
2004,169638.7,5652404.0,30012.0,Arizona,AZ
2005,188136.5,5839077.0,32220.0,Arizona,AZ
2006,209127.0,6029141.0,34686.0,Arizona,AZ
2007,220735.9,6167681.0,35789.0,Arizona,AZ
2008,223345.8,6280362.0,35563.0,Arizona,AZ
2009,211975.3,6343154.0,33418.0,Arizona,AZ
2010,215523.6,6407774.0,33635.0,Arizona,AZ
2011,226365.3,6473497.0,34968.0,Arizona,AZ
2012,236846.1,6556629.0,36123.0,Arizona,AZ
2013,242855.6,6634999.0,36602.0,Arizona,AZ
2014,257410.0,6733840.0,38226.0,Arizona,AZ
2015,271132.8,6833596.0,39676.0,Arizona,AZ
2016,282477.6,6945452.0,40671.0,Arizona,AZ
2000,60969.9,2678588.0,22762.0,Arkansas,AR
2001,64168.1,2691571.0,23840.0,Arkansas,AR
2002,65661.6,2705927.0,24266.0,Arkansas,AR
2003,69547.4,2724816.0,25524.0,Arkansas,AR
2004,74033.0,2749686.0,26924.0,Arkansas,AR
2005,78000.3,2781097.0,28047.0,Arkansas,AR
2006,83068.2,2821761.0,29438.0,Arkansas,AR
2007,88508.3,2848650.0,31070.0,Arkansas,AR
2008,91812.1,2874554.0,31940.0,Arkansas,AR
2009,90246.0,2896843.0,31153.0,Arkansas,AR
2010,93290.5,2921978.0,31927.0,Arkansas,AR
2011,99571.5,2940407.0,33863.0,Arkansas,AR
2012,106984.7,2952109.0,36240.0,Arkansas,AR
2013,107240.7,2959549.0,36235.0,Arkansas,AR
2014,113545.5,2967726.0,38260.0,Arkansas,AR
2015,117180.6,2978407.0,39343.0,Arkansas,AR
2016,120059.5,2990410.0,40148.0,Arkansas,AR
2000,1133965.4,33987977.0,33364.0,California,CA
2001,1173768.8,34479458.0,34043.0,California,CA
2002,1193118.0,34871843.0,34214.0,California,CA
2003,1248506.5,35253159.0,35415.0,California,CA
2004,1329404.0,35574576.0,37369.0,California,CA
2005,1407285.5,35827943.0,39279.0,California,CA
2006,1516057.5,36021202.0,42088.0,California,CA
2007,1581573.3,36250311.0,43629.0,California,CA
2008,1606579.9,36604337.0,43890.0,California,CA
2009,1554013.3,36961229.0,42044.0,California,CA
2010,1628457.6,37320903.0,43634.0,California,CA
2011,1737940.0,37641823.0,46170.0,California,CA
2012,1852397.5,37960782.0,48798.0,California,CA
2013,1886379.1,38280824.0,49277.0,California,CA
2014,2021038.5,38625139.0,52324.0,California,CA
2015,2171947.4,38953142.0,55758.0,California,CA
2016,2263889.8,39209127.0,57739.0,California,CA
2000,147924.9,4326921.0,34187.0,Colorado,CO
2001,154999.8,4425687.0,35023.0,Colorado,CO
2002,155404.1,4490406.0,34608.0,Colorado,CO
2003,158210.9,4528732.0,34935.0,Colorado,CO
2004,164106.0,4575013.0,35870.0,Colorado,CO
2005,175273.0,4631888.0,37841.0,Colorado,CO
2006,189475.6,4720423.0,40140.0,Colorado,CO
2007,201875.5,4803868.0,42024.0,Colorado,CO
2008,208738.0,4889730.0,42689.0,Colorado,CO
2009,198800.2,4972195.0,39982.0,Colorado,CO
2010,205372.4,5048281.0,40682.0,Colorado,CO
2011,223153.2,5121771.0,43570.0,Colorado,CO
2012,237141.5,5193721.0,45659.0,Colorado,CO
2013,249281.6,5270482.0,47298.0,Colorado,CO
2014,271307.5,5351218.0,50700.0,Colorado,CO
2015,284233.9,5452107.0,52133.0,Colorado,CO
2016,289580.6,5540921.0,52262.0,Colorado,CO
2000,147054.8,3411777.0,43102.0,Connecticut,CT
2001,155243.1,3432835.0,45223.0,Connecticut,CT
2002,155347.9,3458749.0,44914.0,Connecticut,CT
2003,157679.4,3484336.0,45254.0,Connecticut,CT
2004,166262.0,3496094.0,47557.0,Connecticut,CT
2005,175470.6,3506956.0,50035.0,Connecticut,CT
2006,189750.4,3517460.0,53945.0,Connecticut,CT
