Year,State,Real GDP,Unit,State_Code
2000,Alabama,156559.9,Millions of chained 2012 dollars,AL
2001,Alabama,156403.9,Millions of chained 2012 dollars,AL
2002,Alabama,160870.1,Millions of chained 2012 dollars,AL
2003,Alabama,164991.9,Millions of chained 2012 dollars,AL
2004,Alabama,175508.4,Millions of chained 2012 dollars,AL
2005,Alabama,181385.9,Millions of chained 2012 dollars,AL
2006,Alabama,184796.4,Millions of chained 2012 dollars,AL
2007,Alabama,185868.8,Millions of chained 2012 dollars,AL
2008,Alabama,185297.9,Millions of chained 2012 dollars,AL
2009,Alabama,178021.4,Millions of chained 2012 dollars,AL
2010,Alabama,182262.7,Millions of chained 2012 dollars,AL
2011,Alabama,185054.8,Millions of chained 2012 dollars,AL
2012,Alabama,186299.0,Millions of chained 2012 dollars,AL
2013,Alabama,188165.1,Millions of chained 2012 dollars,AL
2014,Alabama,186849.0,Millions of chained 2012 dollars,AL
2015,Alabama,189339.1,Millions of chained 2012 dollars,AL
2016,Alabama,190703.0,Millions of chained 2012 dollars,AL
2000,Alaska,39516.9,Millions of chained 2012 dollars,AK
2001,Alaska,40973.8,Millions of chained 2012 dollars,AK
2002,Alaska,42881.0,Millions of chained 2012 dollars,AK
2003,Alaska,42150.5,Millions of chained 2012 dollars,AK
2004,Alaska,43735.3,Millions of chained 2012 dollars,AK
2005,Alaska,45051.6,Millions of chained 2012 dollars,AK
2006,Alaska,48517.1,Millions of chained 2012 dollars,AK
2007,Alaska,51114.0,Millions of chained 2012 dollars,AK
2008,Alaska,50884.0,Millions of chained 2012 dollars,AK
2009,Alaska,55837.6,Millions of chained 2012 dollars,AK
2010,Alaska,54151.4,Millions of chained 2012 dollars,AK
2011,Alaska,54645.7,Millions of chained 2012 dollars,AK
2012,Alaska,57670.1,Millions of chained 2012 dollars,AK
2013,Alaska,54750.0,Millions of chained 2012 dollars,AK
2014,Alaska,53273.0,Millions of chained 2012 dollars,AK
2015,Alaska,53798.7,Millions of chained 2012 dollars,AK
2016,Alaska,52710.7,Millions of chained 2012 dollars,AK
2000,Arizona,207793.3,Millions of chained 2012 dollars,AZ
2001,Arizona,212656.2,Millions of chained 2012 dollars,AZ
2002,Arizona,219311.3,Millions of chained 2012 dollars,AZ
2003,Arizona,233342.0,Millions of chained 2012 dollars,AZ
2004,Arizona,243246.0,Millions of chained 2012 dollars,AZ
2005,Arizona,263061.0,Millions of chained 2012 dollars,AZ
2006,Arizona,277288.3,Millions of chained 2012 dollars,AZ
2007,Arizona,284907.0,Millions of chained 2012 dollars,AZ
2008,Arizona,277477.1,Millions of chained 2012 dollars,AZ
2009,Arizona,255080.7,Millions of chained 2012 dollars,AZ
2010,Arizona,257484.7,Millions of chained 2012 dollars,AZ
2011,Arizona,263211.1,Millions of chained 2012 dollars,AZ
2012,Arizona,268288.8,Millions of chained 2012 dollars,AZ
2013,Arizona,270148.9,Millions of chained 2012 dollars,AZ
2014,Arizona,273677.1,Millions of chained 2012 dollars,AZ
2015,Arizona,280229.5,Millions of chained 2012 dollars,AZ
2016,Arizona,289230.4,Millions of chained 2012 dollars,AZ
2000,Arkansas,90206.3,Millions of chained 2012 dollars,AR
2001,Arkansas,89922.7,Millions of chained 2012 dollars,AR
2002,Arkansas,92884.9,Millions of chained 2012 dollars,AR
2003,Arkansas,96544.8,Millions of chained 2012 dollars,AR
2004,Arkansas,101210.2,Millions of chained 2012 dollars,AR
2005,Arkansas,104653.3,Millions of chained 2012 dollars,AR
2006,Arkansas,106940.0,Millions of chained 2012 dollars,AR
2007,Arkansas,106155.3,Millions of chained 2012 dollars,AR
2008,Arkansas,105791.0,Millions of chained 2012 dollars,AR
2009,Arkansas,102528.1,Millions of chained 2012 dollars,AR
2010,Arkansas,105922.5,Millions of chained 2012 dollars,AR
2011,Arkansas,108295.4,Millions of chained 2012 dollars,AR
2012,Arkansas,108745.2,Millions of chained 2012 dollars,AR
2013,Arkansas,111778.9,Millions of chained 2012 dollars,AR
2014,Arkansas,112932.1,Millions of chained 2012 dollars,AR
2015,Arkansas,113860.9,Millions of chained 2012 dollars,AR
2016,Arkansas,114541.2,Millions of chained 2012 dollars,AR
2000,California,1709938.7,Millions of chained 2012 dollars,CA
2001,California,1702775.7,Millions of chained 2012 dollars,CA
2002,California,1743650.6,Millions of chained 2012 dollars,CA
2003,California,1825424.0,Millions of chained 2012 dollars,CA
2004,California,1902318.8,Millions of chained 2012 dollars,CA
2005,California,1990140.8,Millions of chained 2012 dollars,CA
2006,California,2072177.0,Millions of chained 2012 dollars,CA
2007,California,2103618.2,Millions of chained 2012 dollars,CA
2008,California,2111138.0,Millions of chained 2012 dollars,CA
2009,California,2026486.9,Millions of chained 2012 dollars,CA
2010,California,2058137.9,Millions of chained 2012 dollars,CA
2011,California,2091586.0,Millions of chained 2012 dollars,CA
2012,California,2144497.3,Millions of chained 2012 dollars,CA
2013,California,2220867.6,Millions of chained 2012 dollars,CA
2014,California,2312540.1,Millions of chained 2012 dollars,CA
2015,California,2428598.4,Millions of chained 2012 dollars,CA
2016,California,2500950.4,Millions of chained 2012 dollars,CA
2000,Colorado,232752.0,Millions of chained 2012 dollars,CO
2001,Colorado,236382.6,Millions of chained 2012 dollars,CO
2002,Colorado,236785.5,Millions of chained 2012 dollars,CO
2003,Colorado,238539.8,Millions of chained 2012 dollars,CO
2004,Colorado,240797.5,Millions of chained 2012 dollars,CO
2005,Colorado,250839.6,Millions of chained 2012 dollars,CO
2006,Colorado,256124.3,Millions of chained 2012 dollars,CO
2007,Colorado,264577.0,Millions of chained 2012 dollars,CO
2008,Colorado,267713.2,Millions of chained 2012 dollars,CO
2009,Colorado,262379.8,Millions of chained 2012 dollars,CO
2010,Colorado,264791.1,Millions of chained 2012 dollars,CO
2011,Colorado,268680.8,Millions of chained 2012 dollars,CO
2012,Colorado,273519.5,Millions of chained 2012 dollars,CO
2013,Colorado,282533.9,Millions of chained 2012 dollars,CO
2014,Colorado,295698.6,Millions of chained 2012 dollars,CO
2015,Colorado,309179.6,Millions of chained 2012 dollars,CO
2016,Colorado,316751.8,Millions of chained 2012 dollars,CO
2000,Connecticut,216370.0,Millions of chained 2012 dollars,CT
2001,Connecticut,220287.4,Millions of chained 2012 dollars,CT
2002,Connecticut,219959.4,Millions of chained 2012 dollars,CT
2003,Connecticut,222240.4,Millions of chained 2012 dollars,CT
2004,Connecticut,237132.6,Millions of chained 2012 dollars,CT
2005,Connecticut,242485.4,Millions of chained 2012 dollars,CT
2006,Connecticut,251581.3,Millions of chained 2012 dollars,CT
2007,Connecticut,261129.1,Millions of chained 2012 dollars,CT
2008,Connecticut,259721.9,Millions of chained 2012 dollars,CT
2009,Connecticut,248040.6,Millions of chained 2012 dollars,CT
2010,Connecticut,247460.8,Millions of chained 2012 dollars,CT
2011,Connecticut,242019.5,Millions of chained 2012 dollars,CT
2012,Connecticut,243801.0,Millions of chained 2012 dollars,CT
2013,Connecticut,241081.2,Millions of chained 2012 dollars,CT
2014,Connecticut,237784.3,Millions of chained 2012 dollars,CT
2015,Connecticut,242910.7,Millions of chained 2012 dollars,CT
2016,Connecticut,242793.9,Millions of chained 2012 dollars,CT
2000,Delaware,56109.0,Millions of chained 2012 dollars,DE
2001,Delaware,58881.6,Millions of chained 2012 dollars,DE
2002,Delaware,56814.0,Millions of chained 2012 dollars,DE
2003,Delaware,57957.3,Millions of chained 2012 dollars,DE
2004,Delaware,60682.3,Millions of chained 2012 dollars,DE
2005,Delaware,59973.5,Millions of chained 2012 dollars,DE
2006,Delaware,61496.8,Millions of chained 2012 dollars,DE
2007,Delaware,61235.1,Millions of chained 2012 dollars,DE
2008,Delaware,58656.4,Millions of chained 2012 dollars,DE
2009,Delaware,60404.2,Millions of chained 2012 dollars,DE
2010,Delaware,60016.1,Millions of chained 2012 dollars,DE
