Years,State,CO2_Emissions
1990,Alabama,111.0921221111718
1991,Alabama,115.4669917264782
1992,Alabama,122.7261070491528
1993,Alabama,127.038855119523
1994,Alabama,125.120630838371
1995,Alabama,132.9587230466109
1996,Alabama,139.0358754856447
1997,Alabama,135.5267197088073
1998,Alabama,135.5477821744231
1999,Alabama,138.1566190306315
2000,Alabama,143.9280377989311
2001,Alabama,135.4353895036214
2002,Alabama,140.4308927086832
2003,Alabama,141.2242596720824
2004,Alabama,144.00474475404
2005,Alabama,145.7173863257786
2006,Alabama,148.0401033687618
2007,Alabama,149.5749459702548
2008,Alabama,141.8033585189151
2009,Alabama,121.9489164746089
2010,Alabama,134.614539387333
2011,Alabama,131.6466886228409
2012,Alabama,125.1123941590079
2013,Alabama,122.5127295029225
2014,Alabama,124.7516781708409
2015,Alabama,121.6823526955748
2016,Alabama,115.7217627751225
1990,Alaska,35.05409987935034
1991,Alaska,35.68520023449869
1992,Alaska,37.29811021059636
1993,Alaska,36.96978851560878
1994,Alaska,36.82547313866448
1995,Alaska,41.50380569995172
1996,Alaska,42.450252228929
1997,Alaska,42.39331969167684
1998,Alaska,43.75411783285826
1999,Alaska,44.37700816657526
2000,Alaska,44.92110785760583
2001,Alaska,44.09095480468608
2002,Alaska,44.26656253058596
2003,Alaska,44.31680478469035
2004,Alaska,47.63101960800714
2005,Alaska,49.01759303653993
2006,Alaska,46.644660002987
2007,Alaska,44.87069526026799
2008,Alaska,40.25326054956556
2009,Alaska,38.58861965071063
2010,Alaska,39.46557615611464
2011,Alaska,39.30646480455175
2012,Alaska,38.82916452798958
2013,Alaska,36.65924741284768
2014,Alaska,35.79549643329857
2015,Alaska,36.69673088109267
2016,Alaska,35.10159324097856
1990,Arizona,63.49148573396545
1991,Arizona,64.39863078629395
1992,Arizona,67.53247701575515
1993,Arizona,69.64983223204412
1994,Arizona,72.4751335065646
1995,Arizona,67.37278072550122
1996,Arizona,69.17706547338364
1997,Arizona,72.13827541428981
1998,Arizona,77.57569055411801
1999,Arizona,81.56061752852142
2000,Arizona,87.0894084373308
2001,Arizona,89.62173669012111
2002,Arizona,88.98917498907318
2003,Arizona,90.81161865512875
2004,Arizona,98.20282457636209
2005,Arizona,98.28973648926593
2006,Arizona,101.4688346997448
2007,Arizona,103.3570568505202
2008,Arizona,103.8413652641888
2009,Arizona,94.83657925271547
2010,Arizona,96.63758051074944
2011,Arizona,94.61717478357073
2012,Arizona,92.78088001438736
2013,Arizona,96.45060207343363
2014,Arizona,94.37126599947494
2015,Arizona,92.11136091420201
2016,Arizona,87.48484475006809
1990,Arkansas,51.47717081716358
1991,Arkansas,50.38023077237165
1992,Arkansas,52.23294615512058
1993,Arkansas,51.17110520789575
1994,Arkansas,55.15383498906733
1995,Arkansas,58.56411200256894
1996,Arkansas,61.17591965002267
1997,Arkansas,59.98153030438223
