Years,State_Code,CLTCB,NGTCB,PMTCB,FFTCB,RETCB,TERCB,TECCB,TEICB,TEACB,BMTCB,ELISB,NUETB
1960,AK,7189.0,2034.0,45410.0,54633.0,6800.0,10189.0,7307.0,16798.0,27139.0,3681.0,0.0,0.0
1961,AK,11552.0,2300.0,51008.0,64860.0,7313.0,10787.0,7744.0,21748.0,31895.0,4145.0,0.0,0.0
1962,AK,13559.0,4048.0,53752.0,71359.0,7453.0,11546.0,7941.0,25143.0,34182.0,4246.0,0.0,0.0
1963,AK,11999.0,5567.0,55429.0,72995.0,7793.0,12335.0,10116.0,25950.0,32387.0,4383.0,0.0,0.0
1964,AK,12029.0,6805.0,58130.0,76965.0,8102.0,14082.0,12898.0,25841.0,32246.0,4728.0,0.0,0.0
1965,AK,9888.0,7670.0,61705.0,79263.0,8519.0,15020.0,15276.0,23107.0,34379.0,4863.0,0.0,0.0
1966,AK,16431.0,12282.0,65655.0,94368.0,8328.0,16611.0,16031.0,33820.0,36233.0,5035.0,0.0,0.0
1967,AK,18462.0,11889.0,76363.0,106715.0,8457.0,17607.0,18156.0,35548.0,43862.0,4671.0,0.0,0.0
1968,AK,15998.0,17636.0,80412.0,114046.0,8486.0,19393.0,19463.0,36499.0,47177.0,4705.0,0.0,0.0
1969,AK,13191.0,42940.0,92045.0,148176.0,8455.0,21683.0,27055.0,51376.0,56517.0,4893.0,0.0,0.0
1970,AK,13159.0,64045.0,95999.0,173203.0,8835.0,24873.0,29815.0,50964.0,76386.0,5029.0,0.0,0.0
1971,AK,14121.0,68045.0,109703.0,191869.0,9094.0,29598.0,32872.0,53474.0,85018.0,5287.0,0.0,0.0
1972,AK,12753.0,75032.0,117919.0,205703.0,8673.0,29461.0,37357.0,64134.0,83425.0,5079.0,0.0,0.0
1973,AK,13286.0,63703.0,112132.0,189120.0,7844.0,28496.0,34044.0,63070.0,71354.0,4871.0,0.0,0.0
1974,AK,12485.0,63188.0,117486.0,193159.0,8329.0,29137.0,35903.0,59645.0,76803.0,4922.0,0.0,0.0
1975,AK,15271.0,85175.0,123119.0,223564.0,8608.0,36147.0,33763.0,82597.0,79665.0,4894.0,0.0,0.0
1976,AK,13706.0,90571.0,141170.0,245447.0,9201.0,40237.0,34607.0,90682.0,89123.0,5224.0,0.0,0.0
1977,AK,10259.0,116859.0,154922.0,282041.0,11449.0,43461.0,37862.0,118122.0,94045.0,6106.0,0.0,0.0
1978,AK,4689.0,145025.0,163486.0,313201.0,10809.0,47016.0,38164.0,140893.0,97936.0,5920.0,0.0,0.0
1979,AK,4182.0,157236.0,127623.0,289041.0,10733.0,38446.0,36380.0,139105.0,85842.0,5986.0,0.0,0.0
1980,AK,4310.0,153805.0,129309.0,287424.0,8321.0,34590.0,33916.0,137435.0,89804.0,2723.0,0.0,0.0
1981,AK,12521.0,122214.0,135710.0,270444.0,9216.0,34830.0,37521.0,106071.0,101238.0,3046.0,0.0,0.0
1982,AK,13182.0,237881.0,149249.0,400312.0,8745.0,40248.0,46963.0,219607.0,102239.0,2875.0,0.0,0.0
1983,AK,12403.0,239678.0,175955.0,428036.0,9591.0,40386.0,50328.0,230970.0,115944.0,3348.0,0.0,0.0
1984,AK,12883.0,258039.0,200815.0,471737.0,11152.0,45551.0,63347.0,230994.0,142997.0,3917.0,0.0,0.0
1985,AK,11587.0,214042.0,237018.0,462646.0,11783.0,46846.0,58113.0,215539.0,153931.0,3967.0,0.0,0.0
1986,AK,12150.0,208311.0,273084.0,493544.0,10707.0,43771.0,97823.0,211960.0,150698.0,2259.0,0.0,0.0
1987,AK,4330.0,251512.0,231366.0,487208.0,12004.0,42041.0,88963.0,234311.0,133896.0,2923.0,0.0,0.0
1988,AK,4362.0,288798.0,215477.0,508637.0,12761.0,41824.0,52618.0,276499.0,150456.0,3103.0,0.0,0.0
1989,AK,4719.0,321207.0,231924.0,557850.0,18342.0,46208.0,53158.0,303443.0,173382.0,9188.0,0.0,0.0
1990,AK,12387.0,326826.0,226509.0,565722.0,18357.0,47410.0,60898.0,306883.0,168892.0,8169.0,0.0,0.0
1991,AK,12675.0,367952.0,204675.0,585301.0,17357.0,45623.0,60143.0,340479.0,156413.0,7954.0,0.0,0.0
1992,AK,12509.0,383887.0,212539.0,608935.0,18300.0,46912.0,62226.0,366172.0,151927.0,8753.0,0.0,0.0
1993,AK,13630.0,375971.0,213456.0,603057.0,20551.0,47943.0,64623.0,356750.0,154297.0,7067.0,0.0,0.0
1994,AK,12578.0,367592.0,219277.0,599447.0,23590.0,49237.0,65924.0,350616.0,157266.0,9659.0,0.0,0.0
1995,AK,12882.0,432813.0,235221.0,680916.0,23142.0,50322.0,66562.0,413570.0,173607.0,8941.0,0.0,0.0
1996,AK,11152.0,443629.0,242048.0,696830.0,21915.0,50875.0,70630.0,429716.0,167528.0,8774.0,0.0,0.0
1997,AK,11719.0,425394.0,256040.0,693152.0,15583.0,48844.0,68002.0,403305.0,188588.0,4308.0,0.0,0.0
1998,AK,16471.0,434437.0,258658.0,709565.0,13638.0,47564.0,69605.0,413864.0,192174.0,2233.0,0.0,0.0
1999,AK,16394.0,422817.0,275510.0,714721.0,10605.0,52227.0,71181.0,394489.0,207434.0,2168.0,0.0,0.0
2000,AK,16455.0,437972.0,275255.0,729682.0,12375.0,50780.0,69873.0,401675.0,219733.0,2069.0,0.0,0.0
