Years,State,CO2_Emissions_commercial,CO2_Emissions_electricity,CO2_Emissions_industrial,CO2_Emissions_residential,CO2_Emissions_transportation,Year_x,Real GDP,Unit,State_Code_x,Year_y,Personal Income (millions),Population,Per capita income (dollars),State_Code_y,State_Code,CLPRB,CLPRK,CLPRP,COPRK,EMFDB,ENPRP,GETCB,HYTCB,NGMPB,NGMPK,NGMPP,NUETB,PAPRB,PAPRP,REPRB,ROPRB,SOTCB,TEPRB,TETCB,WDEXB,WDPRB,WDTCB,WSTCB,WYTCB
2000,Alabama,2.2,76.7,26.1,3.7,33.4,2000,156559.9,Millions of chained 2012 dollars,AL,2000,108355.1,4452173.0,24338.0,AL,AL,472699.0,24.462,19324.0,5.8,0.0,0.0,62.0,59346.0,414417.0,1.14,363467.0,327143.0,60651.0,10457.0,263303.0,263303.0,113.0,1538212.0,2110818.0,0.0,199742.0,199742.0,4041.0,0.0
2001,Alabama,2.2,73.9,22.7,3.5,31.4,2001,156403.9,Millions of chained 2012 dollars,AL,2001,112154.9,4467634.0,25104.0,AL,AL,469962.0,24.085,19513.0,5.8,0.0,0.0,65.0,86346.0,391253.0,1.097,356810.0,317019.0,54137.0,9334.0,251523.0,251523.0,97.0,1483893.0,1917019.0,0.0,161408.0,161408.0,3607.0,0.0
2002,Alabama,2.0,77.4,22.5,3.2,33.4,2002,160870.1,Millions of chained 2012 dollars,AL,2002,115191.8,4480089.0,25712.0,AL,AL,460201.0,24.144000000000002,19061.0,5.8,0.0,0.0,67.0,89775.0,390053.0,1.095,356061.0,332650.0,50089.0,8636.0,252689.0,252689.0,82.0,1485681.0,1977985.0,0.0,159554.0,159554.0,3212.0,0.0
2003,Alabama,2.1,78.2,23.7,3.1,32.3,2003,164991.9,Millions of chained 2012 dollars,AL,2003,120211.1,4503491.0,26693.0,AL,AL,486363.0,24.069000000000003,20207.0,5.8,0.0,0.0,62.0,128232.0,374804.0,1.083,346145.0,330137.0,45785.0,7894.0,283428.0,283428.0,68.0,1520518.0,1969758.0,0.0,151787.0,151787.0,3279.0,0.0
2004,Alabama,2.2,77.6,24.1,3.0,34.8,2004,175508.4,Millions of chained 2012 dollars,AL,2004,128739.9,4530729.0,28415.0,AL,AL,531179.0,23.789,22329.0,5.8,0.0,0.0,68.0,106432.0,348224.0,1.102,316021.0,329898.0,43169.0,7443.0,290697.0,290697.0,54.0,1543168.0,2083052.0,0.0,180954.0,180954.0,3189.0,0.0
2005,Alabama,1.8,81.3,22.7,2.7,34.7,2005,181385.9,Millions of chained 2012 dollars,AL,2005,136327.3,4569805.0,29832.0,AL,AL,518423.0,24.166,21453.0,5.8,0.0,0.0,78.0,101436.0,327318.0,1.104,296528.0,330761.0,45594.0,7861.0,279600.0,279600.0,53.0,1501696.0,2064521.0,0.0,174727.0,174727.0,3306.0,0.0
2006,Alabama,2.2,83.6,22.1,2.5,35.3,2006,184796.4,Millions of chained 2012 dollars,AL,2006,145175.8,4628981.0,31362.0,AL,AL,443032.0,23.291,19022.0,5.8,0.0,0.0,85.0,71930.0,326288.0,1.14,286220.0,332992.0,43726.0,7539.0,266153.0,266153.0,62.0,1412191.0,2102014.0,0.0,189507.0,189507.0,4569.0,0.0
2007,Alabama,2.0,85.9,21.5,2.4,35.6,2007,185868.8,Millions of chained 2012 dollars,AL,2007,152327.0,4672840.0,32598.0,AL,AL,469036.0,24.026,19522.0,5.8,0.0,0.0,98.0,40881.0,307971.0,1.139,270407.0,360036.0,41592.0,7171.0,228160.0,228160.0,63.0,1406795.0,2085235.0,0.0,182110.0,182110.0,5008.0,0.0
2008,Alabama,2.0,81.0,21.1,2.5,33.0,2008,185297.9,Millions of chained 2012 dollars,AL,2008,157366.8,4718206.0,33353.0,AL,AL,506837.0,23.956,21157.0,5.8,0.0,0.0,117.0,60466.0,289280.0,1.122,257884.0,407551.0,44637.0,7696.0,233379.0,233379.0,64.0,1481684.0,2002425.0,0.0,166971.0,166971.0,5761.0,0.0
2009,Alabama,1.9,66.4,17.4,2.5,31.9,2009,178021.4,Millions of chained 2012 dollars,AL,2009,155145.3,4757938.0,32608.0,AL,AL,459529.0,23.97,19171.0,5.8,0.0,0.0,126.0,122345.0,267121.0,1.1320000000000001,236029.0,415392.0,41696.0,7189.0,264487.0,264487.0,62.0,1448225.0,1800022.0,0.0,136686.0,136686.0,5269.0,0.0
