,D_Emis,D_Coal_Cons,D_NatGas_Cons,D_Petrol_Cons
AK '90-91,2,2,2,0
AL '90-91,2,2,2,2
AR '90-91,0,2,0,0
AZ '90-91,2,2,0,2
CA '90-91,0,2,2,0
CO '90-91,2,0,2,2
CT '90-91,0,2,2,0
DC '90-91,0,0,2,0
DE '90-91,2,0,2,0
FL '90-91,2,2,2,0
GA '90-91,0,0,2,0
HI '90-91,0,2,0,0
IA '90-91,2,2,2,0
ID '90-91,2,2,2,2
IL '90-91,2,2,2,0
IN '90-91,0,0,2,0
KS '90-91,0,0,2,0
KY '90-91,2,0,2,0
LA '90-91,0,2,0,2
MA '90-91,0,2,2,0
MD '90-91,0,0,2,0
ME '90-91,0,2,2,0
MI '90-91,0,0,2,2
MN '90-91,2,0,2,2
MO '90-91,2,0,2,0
MS '90-91,0,0,0,2
MT '90-91,2,2,2,0
NC '90-91,0,0,2,0
ND '90-91,2,2,2,2
NE '90-91,2,2,2,0
NH '90-91,0,2,0,0
NJ '90-91,2,0,2,0
NM '90-91,0,0,0,2
NV '90-91,2,2,2,2
NY '90-91,0,2,2,0
OH '90-91,0,0,2,0
OK '90-91,2,2,0,2
OR '90-91,2,2,2,2
PA '90-91,0,0,0,0
RI '90-91,2,0,2,0
SC '90-91,2,2,2,2
SD '90-91,0,2,2,0
TN '90-91,0,0,2,0
TX '90-91,0,0,0,2
UT '90-91,0,0,2,2
VA '90-91,2,2,0,0
VT '90-91,2,2,2,2
WI '90-91,0,2,2,0
WV '90-91,2,0,0,0
WY '90-91,2,0,2,0
AK '91-92,2,0,2,2
AL '91-92,2,2,2,2
AR '91-92,2,2,2,2
AZ '91-92,2,2,2,2
CA '91-92,2,2,2,0
CO '91-92,2,2,0,2
CT '91-92,2,2,2,0
DC '91-92,0,0,2,0
DE '91-92,0,0,0,2
FL '91-92,2,0,2,2
GA '91-92,2,0,2,2
HI '91-92,2,2,0,2
IA '91-92,0,0,0,2
ID '91-92,0,0,0,0
IL '91-92,0,0,2,2
IN '91-92,0,0,2,0
KS '91-92,0,0,0,2
KY '91-92,2,2,2,2
LA '91-92,2,2,2,2
MA '91-92,2,0,2,0
MD '91-92,0,0,2,2
ME '91-92,2,2,2,0
MI '91-92,0,0,2,2
MN '91-92,2,0,0,2
MO '91-92,0,0,0,2
MS '91-92,2,0,0,2
MT '91-92,2,2,0,2
NC '91-92,2,2,2,2
ND '91-92,2,2,0,2
NE '91-92,0,0,0,2
NH '91-92,2,0,2,2
NJ '91-92,2,2,2,0
NM '91-92,2,2,0,2
NV '91-92,2,0,2,2
NY '91-92,0,2,2,0
OH '91-92,2,2,2,2
OK '91-92,2,2,0,2
OR '91-92,2,2,0,2
PA '91-92,2,2,2,2
RI '91-92,2,2,2,2
SC '91-92,0,0,2,0
SD '91-92,2,0,2,2
TN '91-92,2,2,2,2
TX '91-92,2,0,0,2
UT '91-92,2,2,0,0
VA '91-92,2,0,2,0
VT '91-92,2,2,2,2
WI '91-92,2,0,2,0
WV '91-92,2,2,2,0
WY '91-92,0,2,2,2
AK '92-93,0,2,0,2
AL '92-93,2,2,2,2
AR '92-93,0,0,2,2
AZ '92-93,2,2,0,2
CA '92-93,0,0,0,0
CO '92-93,2,2,2,2
CT '92-93,0,0,0,0
DC '92-93,2,2,2,2
DE '92-93,2,2,2,0
FL '92-93,2,2,0,2
GA '92-93,2,2,2,2
HI '92-93,0,2,0,0
IA '92-93,2,2,2,2
ID '92-93,2,2,2,2
IL '92-93,2,2,2,2
IN '92-93,2,2,2,2
KS '92-93,2,2,2,0
KY '92-93,2,2,2,0
LA '92-93,2,0,2,2
MA '92-93,0,0,2,0
MD '92-93,2,2,0,2
ME '92-93,0,0,0,2
MI '92-93,0,2,0,2
MN '92-93,2,2,2,2
MO '92-93,0,0,2,2
MS '92-93,2,2,0,2
MT '92-93,0,0,2,2
NC '92-93,2,2,2,2
ND '92-93,2,2,2,0
NE '92-93,2,2,2,0
NH '92-93,2,2,2,2
NJ '92-93,0,2,2,0
NM '92-93,2,2,2,2
NV '92-93,2,0,2,2
NY '92-93,0,0,0,0
OH '92-93,2,2,2,2
OK '92-93,2,2,2,0
OR '92-93,2,0,2,0
PA '92-93,2,2,2,2
RI '92-93,0,0,0,0
