,D_Emis_transport,D_Coal_Cons,D_NatGas_Cons,D_Petrol_Cons
AK '80-81,2,2,0,2
AL '80-81,0,0,2,0
AR '80-81,2,2,0,0
AZ '80-81,2,2,2,0
CA '80-81,0,2,2,0
CO '80-81,0,2,0,0
CT '80-81,0,2,2,0
DC '80-81,2,0,2,0
DE '80-81,0,2,2,0
FL '80-81,1,2,2,0
GA '80-81,0,2,0,0
HI '80-81,0,1,0,0
IA '80-81,0,2,0,0
ID '80-81,0,2,0,0
IL '80-81,0,0,0,0
IN '80-81,2,0,2,0
KS '80-81,0,2,0,0
KY '80-81,0,2,0,0
LA '80-81,2,2,0,0
MA '80-81,1,2,2,0
MD '80-81,2,0,2,0
ME '80-81,1,2,2,0
MI '80-81,0,0,0,0
MN '80-81,0,2,0,0
MO '80-81,0,2,0,0
MS '80-81,0,2,0,0
MT '80-81,0,2,0,0
NC '80-81,2,2,0,0
ND '80-81,1,2,2,0
NE '80-81,0,2,0,0
NH '80-81,0,0,2,0
NJ '80-81,2,2,2,0
NM '80-81,2,0,0,2
NV '80-81,0,2,2,0
NY '80-81,0,0,2,0
OH '80-81,0,2,0,0
OK '80-81,2,2,0,0
OR '80-81,2,2,0,0
PA '80-81,0,0,2,0
RI '80-81,0,2,2,0
SC '80-81,0,2,0,0
SD '80-81,0,0,0,0
TN '80-81,1,0,0,0
TX '80-81,2,2,0,0
UT '80-81,0,2,0,0
VA '80-81,1,2,0,0
VT '80-81,1,2,2,0
WI '80-81,0,2,0,0
WV '80-81,0,2,2,0
WY '80-81,0,2,2,0
AK '81-82,2,2,2,2
AL '81-82,0,0,0,0
AR '81-82,1,2,0,0
AZ '81-82,0,2,0,0
CA '81-82,0,0,0,0
CO '81-82,2,0,2,2
CT '81-82,2,0,2,0
DC '81-82,2,2,2,2
DE '81-82,0,0,0,0
FL '81-82,0,2,0,0
GA '81-82,1,0,0,0
HI '81-82,0,2,0,0
IA '81-82,2,0,0,2
ID '81-82,0,2,0,0
IL '81-82,0,0,0,0
IN '81-82,0,0,0,0
KS '81-82,0,0,0,2
KY '81-82,0,0,0,0
LA '81-82,0,2,0,0
MA '81-82,2,2,2,0
MD '81-82,0,2,0,0
ME '81-82,2,2,2,2
MI '81-82,0,0,0,0
MN '81-82,0,0,0,2
MO '81-82,2,0,0,2
MS '81-82,0,2,2,0
MT '81-82,0,0,0,0
NC '81-82,1,0,0,0
ND '81-82,1,2,0,0
NE '81-82,2,0,2,2
NH '81-82,1,2,0,0
NJ '81-82,2,2,0,2
NM '81-82,0,2,2,0
NV '81-82,0,2,0,0
NY '81-82,0,0,2,0
OH '81-82,0,0,0,0
OK '81-82,2,2,0,2
OR '81-82,2,0,0,2
PA '81-82,0,0,0,0
RI '81-82,1,2,0,0
SC '81-82,1,2,0,0
SD '81-82,2,2,2,2
TN '81-82,0,0,0,0
TX '81-82,2,2,0,0
UT '81-82,1,0,2,0
VA '81-82,0,0,0,0
VT '81-82,0,2,0,0
WI '81-82,0,0,0,0
WV '81-82,0,0,0,0
WY '81-82,0,2,2,0
AK '82-83,2,0,2,2
AL '82-83,0,2,0,0
AR '82-83,0,2,0,2
AZ '82-83,2,0,0,2
CA '82-83,2,0,0,2
CO '82-83,0,0,0,2
CT '82-83,2,0,0,0
DC '82-83,0,0,0,0
DE '82-83,2,2,2,2
FL '82-83,0,2,0,2
GA '82-83,2,2,0,2
HI '82-83,2,0,0,2
IA '82-83,0,2,0,0
ID '82-83,0,0,0,2
IL '82-83,2,2,0,2
IN '82-83,2,2,0,0
KS '82-83,0,2,0,2
KY '82-83,2,2,0,2
LA '82-83,2,2,0,0
MA '82-83,1,2,0,0
MD '82-83,0,2,0,2
ME '82-83,0,0,0,0
MI '82-83,2,0,0,2
MN '82-83,2,0,0,0
MO '82-83,2,2,0,0
MS '82-83,0,0,0,0
MT '82-83,2,0,0,2
NC '82-83,2,0,0,2
ND '82-83,0,2,0,2
NE '82-83,2,2,0,2
NH '82-83,2,2,0,0
NJ '82-83,2,2,2,0
NM '82-83,0,2,0,2
NV '82-83,2,0,0,2
NY '82-83,0,0,0,0
OH '82-83,0,0,0,0
OK '82-83,0,2,0,2
OR '82-83,0,0,0,0
PA '82-83,2,2,0,2
RI '82-83,1,0,2,2
SC '82-83,2,0,2,2
SD '82-83,0,0,0,0
TN '82-83,0,2,0,0
TX '82-83,0,2,0,0
UT '82-83,2,2,2,2
VA '82-83,2,2,0,2
VT '82-83,2,0,0,2
WI '82-83,2,2,0,0
WV '82-83,0,2,0,2
WY '82-83,2,0,0,0
AK '83-84,2,2,2,2
AL '83-84,2,2,2,0
AR '83-84,2,0,2,0
AZ '83-84,2,2,2,2
CA '83-84,2,2,2,2
CO '83-84,2,2,2,2
CT '83-84,2,2,2,2
DC '83-84,0,0,2,2
DE '83-84,2,0,2,2
FL '83-84,0,2,0,0
GA '83-84,2,2,2,2
HI '83-84,2,0,0,2
IA '83-84,0,0,2,0
ID '83-84,2,0,2,0
IL '83-84,0,0,2,0
IN '83-84,2,2,2,2
KS '83-84,2,2,2,2
KY '83-84,1,2,2,2
LA '83-84,0,2,2,0
MA '83-84,2,2,2,2
MD '83-84,2,2,2,2
ME '83-84,2,0,2,2
MI '83-84,2,2,2,2
